nombre,partido_nombre,partido_id,cargo_actual,lista_nombre,partido_id_i,edad,profecion,twitter,face,instagram,youtube,linkedin,web,ddjj,congresoscopio,laberinto,video
Gabriela Michetti,Pro,pro,Senadora nacional por el Pro,Hay Equipo,1,49 años,Licenciada en Relaciones Internacionales,@gabimichetti,/gabrielamichetti,,https://www.youtube.com/user/GabiMichettiVideos,https://ar.linkedin.com/in/gabrielamichetti,,"http://interactivos.lanacion.com.ar/declaraciones-juradas/#str=Michetti,%20Marta%20Gabriela",,http://interactivos.lanacion.com.ar/candidatos/#21,oKLqPg5U_ak
Horacio Rodríguez Larreta,Pro,pro,Jefe de Gabinete porteño,Lista A,1,49 años,Economista,@horaciorlarreta,/horaciorodriguezlarreta,/Horaciorodriguezlarreta,https://www.youtube.com/user/horaciolarreta,https://ar.linkedin.com/in/horaciorodriguezlarreta,rodriguezlarreta.com.ar,https://www.documentcloud.org/documents/1232960-rodriguez-larreta-horacio-antonio-2013.html#pages,,,
Martín Lousteau,Eco,eco,Diputado nacional por UNEN,Sumá +,2,44 años,Economista,@GugaLusto,,,https://www.youtube.com/user/MartinLousteau,,martinlousteau.com.ar,,http://votaciones.lanacion.com.ar/diputados#legislador=590-lousteau_mart%25C3%25ADn&year=2015&tab=votaciones&to_date=27-03-2015,http://interactivos.lanacion.com.ar/candidatos/#39,
Graciela Ocaña,Eco,eco,Legisladora porteña por Confianza Pública,Transparencia y Gestión,2,54 años,Licenciada en Ciencias Políticas,@gracielaocana,/graciela.ocana,/ocanagraciela,https://www.youtube.com/user/gracielaocana,https://ar.linkedin.com/pub/maria-graciela-ocana/22/a91/8a3,gracielaocana.com.ar,,,,
Andrés Borthagaray,Eco,eco,"Director del Instituto para la Ciudad en Movimiento, América latina",Abrimos BA,3,53 años,Arquitecto,@A_Borthagaray,/ABorthagaray,,,,,,,,
Mariano Recalde,FPV,fpv,Presidente de Aerolíneas Argentinas,CFK,4,43 años,Abogado,@marianorecalde,/marianorecaldepaginaoficial,,https://www.youtube.com/user/mrecaldeoficial,,,,,,
Gabriela Cerruti,FPV,fpv,Legisladora porteña por Nuevo Encuentro,La Ciudad es el Otro,4,49 años,Periodista,@gabicerru,/GabrielaCerruti,,https://www.youtube.com/user/gabrielacerruti1,https://ar.linkedin.com/in/gabrielacerruti,gabrielacerruti.com.ar,,,,
Gustavo López,FPV,fpv,Subsecretario de Relaciones con la Sociedad Civil de la Presidencia,Ciudad para Todos,4,58 años,Abogado y periodista,@gustavoflopez,/gustavolopezforja,,https://www.youtube.com/user/gustavolopez2015,,gustavolopez2015.com.ar,,,,
Aníbal Ibarra,FPV,fpv,Legislador porteño por el Frente Progresista Popular,Frente Sí,5,,Abogado,@anibarra,/ibarraanibal,,https://www.youtube.com/user/anibalibarraorgar,,,,,,
Carlos Heller,FPV,fpv,Diputado nacional por Nuevo Encuentro,Unidos por la Ciudad,5,74 años,Banquero cooperativista,@CarlosHeller,/carlos.heller.coop,,https://www.youtube.com/channel/UCFI44pTk7HFCGX4Ft9NNc9w,,carlosheller.com.ar,http://interactivos.lanacion.com.ar/declaraciones-juradas/#str=heller&pd=0_1_2,http://votaciones.lanacion.com.ar/diputados#legislador=628-heller_carlos_salom%C3%B3n&year=2015&tab=votaciones&to_date=30-03-2015,http://interactivos.lanacion.com.ar/candidatos/#36,
Carlos Oviedo,FPV,fpv,,Espacio Abierto,6,55 años,Médico,@oviedocg,,,,,,,,,
Víctor Ramos,FPV,fpv,Presidente del Instituto Dorrego (recientemente retirado),Revolución Urbana,7,60 años,Periodista,@RRamosVictor,/victor.ramos.73,,,,victorramos.com.ar,,,,
Guillermo Nielsen,Frente por Buenos Aires,otros,,Frente Renovador,8,63 años,Economista,@NielsenEcon,,,,,,,,,
