lista_id;siglas;nombre;observaciones
0001;MID                                               ;MOVIMIENTO DE INTEGRACION Y DESARROLLO                                                              ;
0002;JUSTICIALIS                                       ;JUSTICIALISTA                                                                                       ;
0003;UCR                                               ;UNION CIVICA RADICAL                                                                                ;
0005;DC                                                ;DEMOCRATA CRISTIANO                                                                                 ;
0008;FEDERAL                                           ;FEDERAL                                                                                             ;
0014;OBRERO                                            ;OBRERO                                                                                              ;
0022;HUMANISTA                                         ;HUMANISTA                                                                                           ;
0023;UP                                                ;UNION POPULAR                                                                                       ;
0030;SA                                                ;SOCIALISTA AUTENTICO                                                                                ;
0033;UNIR                                              ;NACIONALISTA CONSTITUCIONAL - UNIR                                                                  ;
0036;AUTONOMISTA                                       ;AUTONOMISTA                                                                                         ;
0037;CAMPO POP.                                        ;DEL CAMPO POPULAR                                                                                   ;
0038;MST                                               ;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;
0040;MLS                                               ;MOVIMIENTO LIBRES DEL SUR                                                                           ;
0045;DE LOS TS                                         ;DE LOS TRABAJADORES SOCIALISTAS                                                                     ;
0047;CO.CIV. ARI                                       ;COALICION CIVICA ARI                                                                                ;
0050;SOCIALISTA                                        ;SOCIALISTA                                                                                          ;
0057;MOV.ACC.VEC                                       ;MOVIMIENTO DE ACCION VECINAL                                                                        ;
0060;MIJD                                              ;MVTO INDEPENDIENTE DE JUBILADOS Y DESOCUPADOS                                                       ;
0061;I. O. S.                                          ;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;
0063;ES POSIBLE                                        ;ES POSIBLE                                                                                          ;
0064;PRO                                               ;PRO-PROPUESTA REPUBLICANA                                                                           ;
0065;U.C. Y B.                                         ;UNION CELESTE Y BLANCO                                                                              ;
0068;NI                                                ;NUEVA IZQUIERDA                                                                                     ;
0128;MVTO.AMP.TRAB.                                    ;MOVIMIENTO AMPLIO DE TRABAJADORES                                                                   ;
0131;AL.FTE.VIC.                                       ;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;
0132;AL.FTE.POP.                                       ;ALIANZA FRENTE POPULAR                                                                              ;
0133;AL.COM.FED.                                       ;ALIANZA COMPROMISO FEDERAL                                                                          ;
0134;AL.FTE.A.P.                                       ;ALIANZA FRENTE AMPLIO PROGRESISTA                                                                   ;
0135;AL.FTE.I.T.                                       ;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;
0136;AL.PROY.SUR                                       ;ALIANZA PROYECTO SUR                                                                                ;
0137;AL. UDESO                                         ;ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO                                                     ;
0151;PICH                                              ;INDEPENDIENTE DEL CHUBUT                                                                            ;
0152;M. P. NEUQU                                       ;MOVIMIENTO POPULAR NEUQUINO                                                                         ;
0153;C. RENOVADO                                       ;CRUZADA RENOVADORA                                                                                  ;
0154;M. P. FUEGU                                       ;MOVIMIENTO POPULAR FUEGUINO                                                                         ;
0155;PR.RIONEGRI                                       ;PROVINCIAL RIONEGRINO                                                                               ;
0156;ACC.CHAQUEÑ                                       ;ACCION CHAQUEÑA                                                                                     ;
0157;A.CHUBUTENS                                       ;DE ACCION CHUBUTENSE                                                                                ;
0160;U. POR LA R                                       ;UNION POR LA RIOJA                                                                                  ;
0166;POR LA J. S                                       ;POR LA JUSTICIA SOCIAL                                                                              ;
0167;ACC.NATIVA                                        ;ACCION NATIVA                                                                                       ;
0168;DIG.CIUDADA                                       ;DIGNIDAD CIUDADANA                                                                                  ;
0169;PROY.POPULA                                       ;PROYECTO POPULAR                                                                                    ;
0174;POPULAR                                           ;POPULAR                                                                                             ;
0176;POP.RECONST                                       ;POPULAR DE LA RECONSTRUCCION                                                                        ;
0177;GEN                                               ;GEN                                                                                                 ;
0178;DEL OBRERO                                        ;DEL OBRERO                                                                                          ;
0179;ACC.CIUDADA                                       ;ACCION CIUDADANA                                                                                    ;
0180;CAMPO POP.                                        ;DEL CAMPO POPULAR                                                                                   ;
0181;ACU.REP.FED                                       ;ACUERDO REPUBLICANO FEDERAL                                                                         ;
0183;DEM.INDPTE.                                       ;DEMOCRATA INDEPENDIENTE                                                                             ;
0184;LAB.INDEP.                                        ;LABORISTA DE LA INDEPENDENCIA                                                                       ;
0185;C.P.TUCUMAN                                       ;CAMBIO POPULAR TUCUMANO                                                                             ;
0186;PTS                                               ;DE TRABAJADORES POR EL SOCIALISMO (PTS)                                                             ;
0187;S.PATAGONIC                                       ;SOCIAL PATAGONICO                                                                                   ;
0188;ENC.POPULAR                                       ;ENCUENTRO POPULAR                                                                                   ;
0190;M.P.CIUDADA                                       ;MOVIMIENTO DE PARTICIPACION CIUDADANA                                                               ;
0191;M.INDEP.REN                                       ;MOVIMIENTO INDEPENDIENTE RENOVADOR                                                                  ;
0192;F.REPUBLICA                                       ;FUERZA REPUBLICANA                                                                                  ;
0193;FORTALEZA                                         ;FORTALEZA                                                                                           ;
0194;VOS C. Y AC                                       ;VOS CAMBIO Y ACCION                                                                                 ;
0196;CONSER.POP.                                       ;CONSERVADOR POPULAR                                                                                 ;
0198;U.LIBERTAD                                        ;UNION POR LA LIBERTAD                                                                               ;
0199;NUEVO ENCUENTRO                                   ;NUEVO ENCUENTRO                                                                                     ;
0211;IZQ.TRAB.SO                                       ;IZQUIERDA DEL TRABAJADOR POR EL SOCIALISMO                                                          ;
0267;F.O.RENOV.D                                       ;FUERZA ORGANIZADA RENOVADORA DEMOCRATICA                                                            ;
0268;MATRAJU                                           ;MVTO AMPLIO DE TRABAJADORES Y JUBILADOS-MATRAJU                                                     ;
0272;GENTE EN AC                                       ;GENTE EN ACCION                                                                                     ;
0276;MVTO. A. SO                                       ;MOVIMIENTO AVANZADA SOCIALISTA                                                                      ;
0302;CIUDAD EN A                                       ;DE LA CIUDAD EN ACCION                                                                              ;
0501;AL.FTE.VICT                                       ;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;
0502;AL.FTE. C.                                        ;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;
0503;AL.FTE.A.PR                                       ;ALIANZA FRENTE AMPLIO PROGRESISTA                                                                   ;
0504;AL.UNI.DES.                                       ;ALIANZA UNION PARA EL DESARROLLO SOCIAL                                                             ;
0505;AL.FTE.POP.                                       ;ALIANZA FRENTE POPULAR                                                                              ;
0506;AL.JUSTICIA                                       ;ALIANZA JUSTICIALISTA                                                                               ;
0507;FTE. POPULA                                       ;FRENTE POPULAR                                                                                      ;
0508;AL.PROY.SUR                                       ;ALIANZA PROYECTO SUR                                                                                ;
0509;COMP.FEDERA                                       ;COMPROMISO FEDERAL                                                                                  ;
0510;FTE.AMP.PRO                                       ;FRENTE AMPLIO PROGRESISTA                                                                           ;
0511;AL.COMP.FED                                       ;ALIANZA COMPROMISO FEDERAL                                                                          ;
0513;FREPAM                                            ;FRENTE PAMPEANO, CIVICO Y SOCIAL (FREPAM)                                                           ;
0515;FTE.P.RIOJA                                       ;FRENTE POPULAR RIOJANO                                                                              ;
0516;FRENTE SALT                                       ;FRENTE SALTEÑO                                                                                      ;
0517;AL.FTE.IZ.Y                                       ;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;
0518;AL. PRO                                           ;ALIANZA PRO PROPUESTA REPUBLICANA                                                                   ;
0520;UDESO MENDO                                       ;FRENTE CIVICO FEDERAL -UDESO MENDOZA                                                                ;
0521;FTE.C.SANTI                                       ;FRENTE CIVICO POR SANTIAGO                                                                          ;
0522;FTE.ENC.SUR                                       ;FRENTE ENCUENTRO SUR                                                                                ;
0523;FTE.V.RIOJA                                       ;FRENTE PARA LA VICTORIA RIOJANA                                                                     ;
0525;FTE.P.JUJUY                                       ;FRENTE PRIMERO JUJUY                                                                                ;
0526;FTE.REN.CON                                       ;FRENTE RENOVADOR DE LA CONCORDIA                                                                    ;
0529;COMP.FEDERA                                       ;COMPROMISO FEDERAL                                                                                  ;
0530;FTE.ESPERAN                                       ;FRENTE DE LA ESPERANZA                                                                              ;
0532;FTE. FEDERA                                       ;FRENTE FEDERAL                                                                                      ;
0533;FTE.UN. PRO                                       ;FRENTE UNION PRO                                                                                    ;
0535;UNIF.CIV.RE                                       ;UNIFICACION CIVICA REPUBLICANA                                                                      ;
0536;COAL.CIVICA                                       ;COALICION CIVICA                                                                                    ;
0537;FTE PROG.                                         ;FRENTE PROGRESISTA                                                                                  ;
0538;UCR                                               ;UNION CIVICA RADICAL                                                                                ;
0539;AL.FTE.OPOS                                       ;ALIANZA FRENTE OPOSITOR                                                                             ;
0540;AL.T.P.S.J.                                       ;ALIANZA TODOS POR SAN JUAN                                                                          ;
0541;AL.U.P.Y T.                                       ;ALIANZA UNION, PRODUCCION Y TRABAJO                                                                 ;
